src	tgt
bnam bnam ntik ei	ngọn núi cho ngọn núi nhỏ
brah bok krah ei	khu rừng cho người thầy cũ
padi kon ei	cây lúa cho đứa trẻ
mi hina prong nhu-ne-ma	người mẹ đã không uống con cá to
hling kon om	H'Linh nấu đứa trẻ
bnam bok dua nhu	ngọn núi uống một người thầy
bok pang-tao tec-ne	người thầy đã bán những cái nồi
pa dak liem gu	người cha bắt dòng sông đẹp
dak brah liem nhu	dòng sông uống khu rừng đẹp
mi ako prong gu	người mẹ bắt con chó to
ykrong krao mahe cha	Y Krông ăn con trâu mới
pa kata bar cha	người cha ăn hai con gà
ybhok plei puon ei-ne	Y Bhôk đã cho bốn bản làng
pang bnam tec-ne	cái nồi đã bán ngọn núi
pang plei mahe nhu	cái nồi uống bản làng mới
brah mi cha-ne	khu rừng đã ăn người mẹ
ako brah-tao mahe om-ne	con chó đã nấu những khu rừng mới
bnam kon nhu-ne	ngọn núi đã uống đứa trẻ
yson ako om-ne-ma	Y Sơn đã không nấu con chó
ybhok bok tec-ne	Y Bhôk đã bán người thầy
yson krao-tao liem ngui	Y Sơn làm những con trâu đẹp
plei kon hlao	bản làng tìm đứa trẻ
hling kon liem tec-ma	H'Linh không bán đứa trẻ đẹp
rong miu-tao om	cái nhà nấu những con mèo
ybhok kata-tao ngui	Y Bhôk làm những con gà
kata kata-tao tec	con gà bán những con gà
ykrong ako poh ngui-ne-ma	Y Krông đã không làm năm con chó
ykrong krao poh ei-ne-ma	Y Krông đã không cho năm con trâu
plei miu-tao nhu	bản làng uống những con mèo
hling mi-tao ngui	H'Linh làm những người mẹ
dak pang liem ei-ne	dòng sông đã cho cái nồi đẹp
brah brah liem hmang-ne-ma	khu rừng đã không thấy khu rừng đẹp
yson mi ei	Y Sơn cho người mẹ
miu kata nhu-ne	con mèo đã uống con gà
pang miu-tao prong hlao-ne	cái nồi đã tìm những con mèo to
brah bok bar ntik hmang-ma	khu rừng không thấy hai người thầy nhỏ
ybhok pang dua prong ei	Y Bhôk cho một cái nồi to
dak dak-tao tuk	dòng sông mang những dòng sông
bok pang poh hmang-ma	người thầy không thấy năm cái nồi
padi bnam-tao ei	cây lúa cho những ngọn núi
miu kata pei hmang-ma	con mèo không thấy ba con gà
pang kon ngui	cái nồi làm đứa trẻ
kon mi-tao krah hmang	đứa trẻ thấy những người mẹ cũ
pang pang prong hlao-ne-ma	cái nồi đã không tìm cái nồi to
hnga dak dua ngui	H'Nga làm một dòng sông
hling padi hmang-ne	H'Linh đã thấy cây lúa
yson ako tuk	Y Sơn mang con chó
miu krao ngui-ne-ma	con mèo đã không làm con trâu
hling kon puon ngui-ne-ma	H'Linh đã không làm bốn đứa trẻ
kon dak ntik tec-ne	đứa trẻ đã bán dòng sông nhỏ
krao bok om	con trâu nấu người thầy
hina hina ngui-ne-ma	con cá đã không làm con cá
ako mi-tao ntik tec	con chó bán những người mẹ nhỏ
rong mi-tao ntik tuk-ne	cái nhà đã mang những người mẹ nhỏ
kata kon pei nhu	con gà uống ba đứa trẻ
hrin brah nhu	H'Rin uống khu rừng
hrin krao dua liem cha-ne	H'Rin đã ăn một con trâu đẹp
kata kata liem om-ne-ma	con gà đã không nấu con gà đẹp
kata rong-tao cha-ne	con gà đã ăn những cái nhà
pa dak ntik nhu	người cha uống dòng sông nhỏ
bok pa cha-ne	người thầy đã ăn người cha
ykrong dak ei	Y Krông cho dòng sông
hrin plei-tao liem gu	H'Rin bắt những bản làng đẹp
padi bnam ntik gu-ne	cây lúa đã bắt ngọn núi nhỏ
plei plei bar hmang-ne	bản làng đã thấy hai bản làng
ykrong dak poh hlao	Y Krông tìm năm dòng sông
yson ako tec-ne	Y Sơn đã bán con chó
ybhok rong pei ntik gu	Y Bhôk bắt ba cái nhà nhỏ
bnam mi poh prong tec	ngọn núi bán năm người mẹ to
mi krao dua liem nhu-ne	người mẹ đã uống một con trâu đẹp
ako kon tec	con chó bán đứa trẻ
plei rong bar cha	bản làng ăn hai cái nhà
hrin bnam ei-ne	H'Rin đã cho ngọn núi
hina padi-tao hlao-ma	con cá không tìm những cây lúa
ybhok mi dua ntik tuk	Y Bhôk mang một người mẹ nhỏ
pa kata krah tuk	người cha mang con gà cũ
miu kon-tao ngui	con mèo làm những đứa trẻ
miu bok mahe ngui-ne	con mèo đã làm người thầy mới
hina pa-tao mahe tuk	con cá mang những người cha mới
krao hina poh tuk	con trâu mang năm con cá
hling brah poh liem om	H'Linh nấu năm khu rừng đẹp
hina dak puon ntik ei	con cá cho bốn dòng sông nhỏ
rong kata pei liem gu-ma	cái nhà không bắt ba con gà đẹp
dak bnam poh mahe gu	dòng sông bắt năm ngọn núi mới
ybhok miu mahe tuk	Y Bhôk mang con mèo mới
brah miu ei	khu rừng cho con mèo
bok mi hlao-ma	người thầy không tìm người mẹ
rong brah mahe gu	cái nhà bắt khu rừng mới
ybhok bnam dua gu	Y Bhôk bắt một ngọn núi
hrin padi nhu	H'Rin uống cây lúa
padi kata krah ngui	cây lúa làm con gà cũ
hling kata mahe nhu	H'Linh uống con gà mới
hling kata ntik tec-ne	H'Linh đã bán con gà nhỏ
dak padi ei-ne-ma	dòng sông đã không cho cây lúa
ykrong dak cha	Y Krông ăn dòng sông
pang rong puon mahe om-ma	cái nồi không nấu bốn cái nhà mới
kon bnam ntik tec-ne	đứa trẻ đã bán ngọn núi nhỏ
brah brah-tao cha-ne	khu rừng đã ăn những khu rừng
plei padi ntik tuk	bản làng mang cây lúa nhỏ
bnam brah-tao hlao-ma	ngọn núi không tìm những khu rừng
ako plei mahe tuk	con chó mang bản làng mới
miu pang liem nhu-ne	con mèo đã uống cái nồi đẹp
kon miu-tao ngui	đứa trẻ làm những con mèo
kon pa hlao	đứa trẻ tìm người cha
yson kata-tao tuk-ne	Y Sơn đã mang những con gà
miu kon-tao ngui-ne-ma	con mèo đã không làm những đứa trẻ
bok pa-tao prong gu	người thầy bắt những người cha to
mi ako bar ei-ne	người mẹ đã cho hai con chó
ykrong plei cha-ma	Y Krông không ăn bản làng
dak plei tec-ne	dòng sông đã bán bản làng
ako hina ei-ne-ma	con chó đã không cho con cá
hling kon mahe nhu	H'Linh uống đứa trẻ mới
rong ako ei	cái nhà cho con chó
bnam miu-tao liem hmang	ngọn núi thấy những con mèo đẹp
ako brah poh ngui	con chó làm năm khu rừng
plei dak hlao-ma	bản làng không tìm dòng sông
ybhok krao tuk	Y Bhôk mang con trâu
hrin kata mahe hmang-ne-ma	H'Rin đã không thấy con gà mới
hling kon ngui	H'Linh làm đứa trẻ
ykrong kata krah hmang	Y Krông thấy con gà cũ
pang pang krah gu	cái nồi bắt cái nồi cũ
yson rong liem om-ne	Y Sơn đã nấu cái nhà đẹp
ykrong brah ei-ne	Y Krông đã cho khu rừng
mi miu-tao tuk-ne-ma	người mẹ đã không mang những con mèo
miu dak liem ngui-ne	con mèo đã làm dòng sông đẹp
ybhok bnam cha	Y Bhôk ăn ngọn núi
padi rong ei	cây lúa cho cái nhà
yson padi dua om-ne	Y Sơn đã nấu một cây lúa
hrin padi hlao-ne-ma	H'Rin đã không tìm cây lúa
kon pang tec-ne	đứa trẻ đã bán cái nồi
rong kata-tao mahe nhu	cái nhà uống những con gà mới
bnam padi poh liem nhu-ne-ma	ngọn núi đã không uống năm cây lúa đẹp
hnga pang tec	H'Nga bán cái nồi
pa bnam pei mahe om-ma	người cha không nấu ba ngọn núi mới
bnam bnam dua ntik hmang	ngọn núi thấy một ngọn núi nhỏ
ybhok kon-tao mahe hlao-ne	Y Bhôk đã tìm những đứa trẻ mới
yson hina-tao liem om	Y Sơn nấu những con cá đẹp
padi mi-tao cha-ne	cây lúa đã ăn những người mẹ
miu kon ngui	con mèo làm đứa trẻ
dak brah-tao nhu	dòng sông uống những khu rừng
ybhok pa tuk	Y Bhôk mang người cha
hrin dak-tao ei-ne-ma	H'Rin đã không cho những dòng sông
ykrong brah dua ntik tuk-ne	Y Krông đã mang một khu rừng nhỏ
mi pa-tao cha	người mẹ ăn những người cha
kata miu hmang	con gà thấy con mèo
ybhok mi-tao gu-ne-ma	Y Bhôk đã không bắt những người mẹ
ybhok padi-tao cha	Y Bhôk ăn những cây lúa
hnga hina hlao	H'Nga tìm con cá
hnga bnam ei-ne-ma	H'Nga đã không cho ngọn núi
bok krao bar prong hmang	người thầy thấy hai con trâu to
rong mi nhu-ne	cái nhà đã uống người mẹ
krao plei dua hmang	con trâu thấy một bản làng
bok padi dua krah gu	người thầy bắt một cây lúa cũ
brah hina tec-ne	khu rừng đã bán con cá
pang ako prong tuk	cái nồi mang con chó to
yson miu nhu	Y Sơn uống con mèo
mi padi ngui-ne	người mẹ đã làm cây lúa
hina plei puon ntik nhu	con cá uống bốn bản làng nhỏ
hrin ako-tao ntik ei-ne	H'Rin đã cho những con chó nhỏ
krao pa tec	con trâu bán người cha
ykrong kon om-ma	Y Krông không nấu đứa trẻ
padi pa bar om	cây lúa nấu hai người cha
pa miu hlao	người cha tìm con mèo
pa krao poh hlao-ma	người cha không tìm năm con trâu
rong kon ngui	cái nhà làm đứa trẻ
padi pang-tao ngui-ne	cây lúa đã làm những cái nồi
kon kata tuk	đứa trẻ mang con gà
kon kon tec-ne	đứa trẻ đã bán đứa trẻ
hrin miu pei tec	H'Rin bán ba con mèo
ako krao cha-ne	con chó đã ăn con trâu
kon ako dua hlao-ne	đứa trẻ đã tìm một con chó
kon bnam hlao	đứa trẻ tìm ngọn núi
krao bok poh ngui	con trâu làm năm người thầy
ykrong pa-tao tuk-ne-ma	Y Krông đã không mang những người cha
padi ako bar ngui	cây lúa làm hai con chó
krao miu liem ei	con trâu cho con mèo đẹp
ako bnam puon ngui	con chó làm bốn ngọn núi
dak hina-tao liem gu-ma	dòng sông không bắt những con cá đẹp
pa pang gu-ne	người cha đã bắt cái nồi
ykrong hina ntik tuk-ma	Y Krông không mang con cá nhỏ
plei krao ntik gu-ne	bản làng đã bắt con trâu nhỏ
rong plei cha	cái nhà ăn bản làng
bnam bnam prong cha	ngọn núi ăn ngọn núi to
hrin miu-tao tuk	H'Rin mang những con mèo
bnam kon bar ntik tuk-ma	ngọn núi không mang hai đứa trẻ nhỏ
bnam bnam om	ngọn núi nấu ngọn núi
pa padi-tao hlao	người cha tìm những cây lúa
bok dak hmang-ma	người thầy không thấy dòng sông
hling padi-tao nhu-ne	H'Linh đã uống những cây lúa
hina kon mahe ngui	con cá làm đứa trẻ mới
pang hina-tao prong ei	cái nồi cho những con cá to
hrin rong krah hmang	H'Rin thấy cái nhà cũ
yson kon-tao nhu-ne	Y Sơn đã uống những đứa trẻ
yson kon puon hlao	Y Sơn tìm bốn đứa trẻ
brah ako poh prong om-ne-ma	khu rừng đã không nấu năm con chó to
ako pang om-ne	con chó đã nấu cái nồi
yson pang dua gu	Y Sơn bắt một cái nồi
brah pang liem hmang	khu rừng thấy cái nồi đẹp
hling miu dua tuk	H'Linh mang một con mèo
padi padi cha-ne	cây lúa đã ăn cây lúa
krao bok pei ei-ne	con trâu đã cho ba người thầy
hrin bnam-tao tec	H'Rin bán những ngọn núi
yson plei om-ne-ma	Y Sơn đã không nấu bản làng
hina mi dua tec-ne	con cá đã bán một người mẹ
brah brah puon liem om	khu rừng nấu bốn khu rừng đẹp
rong kon prong ngui-ma	cái nhà không làm đứa trẻ to
ybhok krao tec-ne	Y Bhôk đã bán con trâu
brah bnam cha	khu rừng ăn ngọn núi
ako rong-tao ei-ma	con chó không cho những cái nhà
brah bnam gu	khu rừng bắt ngọn núi
brah pa ntik hlao-ma	khu rừng không tìm người cha nhỏ
bnam pa-tao nhu	ngọn núi uống những người cha
dak pang-tao nhu	dòng sông uống những cái nồi
bok rong-tao ei	người thầy cho những cái nhà
pang rong krah ngui-ne	cái nồi đã làm cái nhà cũ
ako hina tec-ne	con chó đã bán con cá
pa pa puon mahe tec	người cha bán bốn người cha mới
miu bok poh tec	con mèo bán năm người thầy
hina hina tuk	con cá mang con cá
rong padi liem nhu	cái nhà uống cây lúa đẹp
ako pang ei	con chó cho cái nồi
brah ako krah ngui	khu rừng làm con chó cũ
ybhok plei krah tuk	Y Bhôk mang bản làng cũ
kata krao-tao hmang	con gà thấy những con trâu
ykrong krao om	Y Krông nấu con trâu
ykrong hina hmang	Y Krông thấy con cá
pa bnam krah cha-ne	người cha đã ăn ngọn núi cũ
mi bnam pei hmang-ne-ma	người mẹ đã không thấy ba ngọn núi
hina rong mahe nhu	con cá uống cái nhà mới
kata kata pei hlao	con gà tìm ba con gà
ykrong kon bar mahe hmang	Y Krông thấy hai đứa trẻ mới
hnga mi prong hmang	H'Nga thấy người mẹ to
kata padi hmang-ne	con gà đã thấy cây lúa
ykrong padi puon hlao	Y Krông tìm bốn cây lúa
bnam bnam puon tec-ne	ngọn núi đã bán bốn ngọn núi
bok padi puon hlao-ne	người thầy đã tìm bốn cây lúa
kata padi tec-ne	con gà đã bán cây lúa
bnam ako-tao liem ngui	ngọn núi làm những con chó đẹp
hnga bnam pei krah tec	H'Nga bán ba ngọn núi cũ
plei dak tec-ne	bản làng đã bán dòng sông
krao hina hlao-ne	con trâu đã tìm con cá
pang mi mahe ngui	cái nồi làm người mẹ mới
hrin bok mahe om	H'Rin nấu người thầy mới
hina hina ngui-ne	con cá đã làm con cá
hina kon pei om	con cá nấu ba đứa trẻ
hnga rong poh hmang	H'Nga thấy năm cái nhà
plei kata om	bản làng nấu con gà
hnga pang liem ngui	H'Nga làm cái nồi đẹp
padi miu poh cha	cây lúa ăn năm con mèo
plei kon ngui	bản làng làm đứa trẻ
pang plei mahe hmang-ne	cái nồi đã thấy bản làng mới
hrin plei om-ne-ma	H'Rin đã không nấu bản làng
pa miu-tao tuk-ma	người cha không mang những con mèo
krao miu ngui	con trâu làm con mèo
hrin padi mahe hlao-ne	H'Rin đã tìm cây lúa mới
hnga rong-tao ei	H'Nga cho những cái nhà
dak kon hlao	dòng sông tìm đứa trẻ
hling dak hmang-ne	H'Linh đã thấy dòng sông
ybhok pa ei-ne	Y Bhôk đã cho người cha
hina miu ntik om-ne	con cá đã nấu con mèo nhỏ
hrin brah poh tuk-ne	H'Rin đã mang năm khu rừng
yson ako poh nhu	Y Sơn uống năm con chó
pang miu mahe tec	cái nồi bán con mèo mới
yson brah hmang	Y Sơn thấy khu rừng
mi brah mahe ei-ne	người mẹ đã cho khu rừng mới
plei plei hmang-ne	bản làng đã thấy bản làng
bnam plei nhu-ne	ngọn núi đã uống bản làng
padi rong hmang-ne	cây lúa đã thấy cái nhà
hrin kon nhu-ne-ma	H'Rin đã không uống đứa trẻ
ybhok plei ei-ma	Y Bhôk không cho bản làng
miu miu-tao ntik gu-ne-ma	con mèo đã không bắt những con mèo nhỏ
hnga mi bar mahe tec	H'Nga bán hai người mẹ mới
krao bok tec	con trâu bán người thầy
yson kata mahe hlao-ne	Y Sơn đã tìm con gà mới
ako kon cha	con chó ăn đứa trẻ
kata rong-tao tuk	con gà mang những cái nhà
dak bnam nhu	dòng sông uống ngọn núi
hrin dak om	H'Rin nấu dòng sông
rong hina liem cha-ne	cái nhà đã ăn con cá đẹp
dak bok gu-ne	dòng sông đã bắt người thầy
kon dak hmang-ne	đứa trẻ đã thấy dòng sông
rong kon ntik cha-ne	cái nhà đã ăn đứa trẻ nhỏ
hnga pang nhu-ne	H'Nga đã uống cái nồi
hrin pa-tao hmang-ne	H'Rin đã thấy những người cha
rong bok hmang-ma	cái nhà không thấy người thầy
kon hina prong tec-ne	đứa trẻ đã bán con cá to
ako pa-tao prong hlao	con chó tìm những người cha to
hina kon om-ne-ma	con cá đã không nấu đứa trẻ
ybhok rong dua nhu	Y Bhôk uống một cái nhà
ako pa nhu	con chó uống người cha
krao bok-tao ei-ne	con trâu đã cho những người thầy
ybhok rong om-ne-ma	Y Bhôk đã không nấu cái nhà
ykrong pa hmang	Y Krông thấy người cha
kata rong ngui	con gà làm cái nhà
bok ako ntik hmang	người thầy thấy con chó nhỏ
pang bok pei hmang	cái nồi thấy ba người thầy
kon mi om	đứa trẻ nấu người mẹ
miu padi ei-ne-ma	con mèo đã không cho cây lúa
krao krao pei hmang-ma	con trâu không thấy ba con trâu
miu kata-tao nhu	con mèo uống những con gà
yson miu poh krah ngui	Y Sơn làm năm con mèo cũ
ykrong krao-tao tuk-ne	Y Krông đã mang những con trâu
ako miu-tao cha-ne	con chó đã ăn những con mèo
pang bok pei liem hmang-ne	cái nồi đã thấy ba người thầy đẹp
kata bnam liem hlao-ne	con gà đã tìm ngọn núi đẹp
hina rong pei gu	con cá bắt ba cái nhà
kata pang hlao-ne	con gà đã tìm cái nồi
krao krao dua ngui	con trâu làm một con trâu
hrin kon-tao krah tuk-ne	H'Rin đã mang những đứa trẻ cũ
padi miu bar mahe om	cây lúa nấu hai con mèo mới
hling dak pei hmang	H'Linh thấy ba dòng sông
bok brah krah cha	người thầy ăn khu rừng cũ
hrin kata ei-ma	H'Rin không cho con gà
hling pa dua hmang-ne	H'Linh đã thấy một người cha
rong mi pei ntik ei-ne	cái nhà đã cho ba người mẹ nhỏ
ako kata-tao cha	con chó ăn những con gà
hnga padi hlao	H'Nga tìm cây lúa
krao kon-tao ntik hlao	con trâu tìm những đứa trẻ nhỏ
hnga rong poh krah ei	H'Nga cho năm cái nhà cũ
rong padi-tao hlao	cái nhà tìm những cây lúa
bok plei liem om-ne	người thầy đã nấu bản làng đẹp
hnga pang ei	H'Nga cho cái nồi
hina brah liem ngui-ma	con cá không làm khu rừng đẹp
miu rong-tao cha	con mèo ăn những cái nhà
bnam pang dua hmang	ngọn núi thấy một cái nồi
hling hina ntik ngui-ma	H'Linh không làm con cá nhỏ
krao pa liem gu-ne	con trâu đã bắt người cha đẹp
kon hina hlao	đứa trẻ tìm con cá
ako dak bar krah ei	con chó cho hai dòng sông cũ
krao plei-tao om	con trâu nấu những bản làng
rong plei pei tuk	cái nhà mang ba bản làng
hina bnam tuk	con cá mang ngọn núi
mi kata ntik ngui-ne	người mẹ đã làm con gà nhỏ
bnam hina prong hlao	ngọn núi tìm con cá to
hnga miu liem ei-ne	H'Nga đã cho con mèo đẹp
hling kon-tao hlao-ma	H'Linh không tìm những đứa trẻ
ako hina liem ngui-ma	con chó không làm con cá đẹp
kon brah prong hlao	đứa trẻ tìm khu rừng to
hrin miu ntik gu-ne	H'Rin đã bắt con mèo nhỏ
ybhok pang liem ei	Y Bhôk cho cái nồi đẹp
bok pa-tao cha	người thầy ăn những người cha
hina pa dua prong tuk	con cá mang một người cha to
krao krao hmang	con trâu thấy con trâu
krao dak ntik hmang-ma	con trâu không thấy dòng sông nhỏ
pa hina mahe tuk	người cha mang con cá mới
rong padi ntik hmang	cái nhà thấy cây lúa nhỏ
miu pang puon mahe cha-ne	con mèo đã ăn bốn cái nồi mới
kon padi gu	đứa trẻ bắt cây lúa
hrin ako-tao tuk	H'Rin mang những con chó
dak rong cha	dòng sông ăn cái nhà
plei pang mahe hlao-ma	bản làng không tìm cái nồi mới
hina padi pei liem ei-ne	con cá đã cho ba cây lúa đẹp
pa padi hlao	người cha tìm cây lúa
hrin pang tec	H'Rin bán cái nồi
hnga pang poh nhu	H'Nga uống năm cái nồi
ybhok brah poh ei-ne	Y Bhôk đã cho năm khu rừng
plei mi puon krah tec	bản làng bán bốn người mẹ cũ
pang plei dua om-ma	cái nồi không nấu một bản làng
hrin kon dua ngui-ne-ma	H'Rin đã không làm một đứa trẻ
bok pang-tao ntik ei	người thầy cho những cái nồi nhỏ
yson rong poh cha	Y Sơn ăn năm cái nhà
plei dak puon prong tec-ma	bản làng không bán bốn dòng sông to
rong kon tec	cái nhà bán đứa trẻ
miu kata-tao tec	con mèo bán những con gà
ako pang pei mahe tuk	con chó mang ba cái nồi mới
plei pang-tao krah hlao	bản làng tìm những cái nồi cũ
kon brah gu-ma	đứa trẻ không bắt khu rừng
kata padi-tao hmang-ma	con gà không thấy những cây lúa
kon padi dua prong tec-ne	đứa trẻ đã bán một cây lúa to
rong padi prong hmang	cái nhà thấy cây lúa to
pang kon mahe tuk-ne	cái nồi đã mang đứa trẻ mới
kon kata tec-ne	đứa trẻ đã bán con gà
kon kon hmang-ne-ma	đứa trẻ đã không thấy đứa trẻ
hling pa nhu-ne	H'Linh đã uống người cha
ybhok rong-tao ei-ne	Y Bhôk đã cho những cái nhà
hrin bok dua tec-ma	H'Rin không bán một người thầy
kon bnam gu-ne	đứa trẻ đã bắt ngọn núi
dak plei hmang	dòng sông thấy bản làng
ako kon dua ngui	con chó làm một đứa trẻ
ako pang krah cha-ne	con chó đã ăn cái nồi cũ
kon kon ngui	đứa trẻ làm đứa trẻ
miu rong ei-ne	con mèo đã cho cái nhà
pa brah gu-ne	người cha đã bắt khu rừng
hina rong ntik tec-ne	con cá đã bán cái nhà nhỏ
kon bok liem tec	đứa trẻ bán người thầy đẹp
kon plei bar gu-ne-ma	đứa trẻ đã không bắt hai bản làng
padi padi mahe gu	cây lúa bắt cây lúa mới
hrin bnam-tao om	H'Rin nấu những ngọn núi
pang miu pei hmang-ne	cái nồi đã thấy ba con mèo
padi bnam poh hmang	cây lúa thấy năm ngọn núi
hnga bok hmang	H'Nga thấy người thầy
kon kon mahe ei-ne	đứa trẻ đã cho đứa trẻ mới
hling rong puon ei-ne	H'Linh đã cho bốn cái nhà
ako bnam hmang-ne	con chó đã thấy ngọn núi
mi bnam hlao	người mẹ tìm ngọn núi
plei rong cha-ne	bản làng đã ăn cái nhà
ako ako prong nhu-ma	con chó không uống con chó to
hina dak-tao krah gu	con cá bắt những dòng sông cũ
bok bnam bar ntik gu	người thầy bắt hai ngọn núi nhỏ
padi hina-tao hmang	cây lúa thấy những con cá
dak bok poh liem om-ma	dòng sông không nấu năm người thầy đẹp
hrin hina-tao om	H'Rin nấu những con cá
kon kon hmang	đứa trẻ thấy đứa trẻ
hnga bnam nhu	H'Nga uống ngọn núi
hina krao poh ngui	con cá làm năm con trâu
padi krao prong om-ne	cây lúa đã nấu con trâu to
kata mi bar nhu-ma	con gà không uống hai người mẹ
hrin rong-tao prong cha-ne	H'Rin đã ăn những cái nhà to
ykrong padi gu	Y Krông bắt cây lúa
rong krao-tao tec-ne	cái nhà đã bán những con trâu
rong krao prong om-ma	cái nhà không nấu con trâu to
miu rong-tao hmang-ma	con mèo không thấy những cái nhà
kata pa puon krah tuk-ma	con gà không mang bốn người cha cũ
hnga brah-tao krah ngui	H'Nga làm những khu rừng cũ
hina bok mahe ei-ne	con cá đã cho người thầy mới
dak dak mahe cha	dòng sông ăn dòng sông mới
mi krao tuk	người mẹ mang con trâu
ybhok pang ngui	Y Bhôk làm cái nồi
hrin kon prong cha	H'Rin ăn đứa trẻ to
ykrong dak ngui	Y Krông làm dòng sông
ako bnam puon hlao	con chó tìm bốn ngọn núi
kon dak gu	đứa trẻ bắt dòng sông
hrin kon-tao nhu-ne	H'Rin đã uống những đứa trẻ
padi kon-tao liem hlao-ne	cây lúa đã tìm những đứa trẻ đẹp
bnam krao bar tuk	ngọn núi mang hai con trâu
hling rong krah gu-ma	H'Linh không bắt cái nhà cũ
hnga miu hlao-ma	H'Nga không tìm con mèo
plei kon prong nhu	bản làng uống đứa trẻ to
bnam miu tec	ngọn núi bán con mèo
bnam dak ei-ma	ngọn núi không cho dòng sông
padi krao bar prong gu-ma	cây lúa không bắt hai con trâu to
dak hina-tao liem gu	dòng sông bắt những con cá đẹp
padi hina puon krah hmang	cây lúa thấy bốn con cá cũ
hnga pang tuk	H'Nga mang cái nồi
hnga kata bar ei	H'Nga cho hai con gà
hling padi liem cha-ne-ma	H'Linh đã không ăn cây lúa đẹp
hina pang ntik cha-ma	con cá không ăn cái nồi nhỏ
krao brah-tao om	con trâu nấu những khu rừng
ybhok ako-tao mahe nhu	Y Bhôk uống những con chó mới
mi plei prong om	người mẹ nấu bản làng to
ako brah poh cha	con chó ăn năm khu rừng
bok plei prong hlao	người thầy tìm bản làng to
bnam krao dua krah ngui-ne	ngọn núi đã làm một con trâu cũ
hnga padi-tao cha-ne	H'Nga đã ăn những cây lúa
bok bnam bar ei	người thầy cho hai ngọn núi
kata kata ngui	con gà làm con gà
plei mi bar prong cha	bản làng ăn hai người mẹ to
yson hina ei	Y Sơn cho con cá
hnga bnam-tao prong tuk	H'Nga mang những ngọn núi to
ykrong bnam gu	Y Krông bắt ngọn núi
kon rong poh nhu-ne	đứa trẻ đã uống năm cái nhà
mi bnam-tao hmang	người mẹ thấy những ngọn núi
kon plei cha	đứa trẻ ăn bản làng
yson kata dua prong gu-ne-ma	Y Sơn đã không bắt một con gà to
ybhok kon-tao krah gu-ne	Y Bhôk đã bắt những đứa trẻ cũ
bnam bnam om-ma	ngọn núi không nấu ngọn núi
ako hina tec	con chó bán con cá
hling rong-tao gu	H'Linh bắt những cái nhà
miu brah-tao prong om-ne	con mèo đã nấu những khu rừng to
hling brah ntik hmang-ne	H'Linh đã thấy khu rừng nhỏ
brah bok dua nhu-ne	khu rừng đã uống một người thầy
pa rong bar mahe tuk-ne	người cha đã mang hai cái nhà mới
pa padi-tao krah hlao-ne	người cha đã tìm những cây lúa cũ
dak pa hmang-ne-ma	dòng sông đã không thấy người cha
ybhok padi dua liem hmang-ne	Y Bhôk đã thấy một cây lúa đẹp
mi mi puon gu	người mẹ bắt bốn người mẹ
krao bnam tec	con trâu bán ngọn núi
kata mi om	con gà nấu người mẹ
yson pang-tao hmang-ne	Y Sơn đã thấy những cái nồi
mi plei-tao ei-ne-ma	người mẹ đã không cho những bản làng
bok bok ei-ma	người thầy không cho người thầy
ybhok hina-tao liem om	Y Bhôk nấu những con cá đẹp
ybhok pang bar om	Y Bhôk nấu hai cái nồi
bok pang tec-ma	người thầy không bán cái nồi
hling kata om	H'Linh nấu con gà
ybhok kata ngui-ma	Y Bhôk không làm con gà
rong pang prong tuk-ne	cái nhà đã mang cái nồi to
rong brah mahe tec-ne-ma	cái nhà đã không bán khu rừng mới
dak pa-tao om-ne	dòng sông đã nấu những người cha
rong brah ngui-ne	cái nhà đã làm khu rừng
kata pang liem hlao	con gà tìm cái nồi đẹp
mi plei tuk	người mẹ mang bản làng
yson ako-tao prong ngui-ne	Y Sơn đã làm những con chó to
mi dak tuk	người mẹ mang dòng sông
hrin kon puon hmang	H'Rin thấy bốn đứa trẻ
hnga hina-tao mahe ngui-ne-ma	H'Nga đã không làm những con cá mới
hnga kon gu-ne	H'Nga đã bắt đứa trẻ
mi bok-tao ei	người mẹ cho những người thầy
yson dak bar hlao	Y Sơn tìm hai dòng sông
krao miu bar gu	con trâu bắt hai con mèo
krao dak ntik hmang	con trâu thấy dòng sông nhỏ
pa bok prong om	người cha nấu người thầy to
hina krao mahe hlao-ma	con cá không tìm con trâu mới
bok bnam ei-ma	người thầy không cho ngọn núi
hina padi-tao gu-ne	con cá đã bắt những cây lúa
hnga hina-tao hmang	H'Nga thấy những con cá
krao pang bar krah ei	con trâu cho hai cái nồi cũ
ybhok hina hlao	Y Bhôk tìm con cá
plei rong dua tuk-ne	bản làng đã mang một cái nhà
krao mi om-ne	con trâu đã nấu người mẹ
yson pang ei	Y Sơn cho cái nồi
hina dak gu-ne	con cá đã bắt dòng sông
hling miu prong tec-ne	H'Linh đã bán con mèo to
yson pa pei hlao	Y Sơn tìm ba người cha
hnga padi hlao-ma	H'Nga không tìm cây lúa
bok kon gu	người thầy bắt đứa trẻ
ykrong bok mahe ei	Y Krông cho người thầy mới
yson bnam nhu-ne	Y Sơn đã uống ngọn núi
yson kata bar om	Y Sơn nấu hai con gà
hling pang-tao prong nhu-ne-ma	H'Linh đã không uống những cái nồi to
ako rong hlao-ne	con chó đã tìm cái nhà
pang krao pei om	cái nồi nấu ba con trâu
yson bok krah cha-ma	Y Sơn không ăn người thầy cũ
